Sector,Giants,No Budget,Competition,Poor Market Fit,Acquisition Stagnation,Platform Dependency,Monetization Failure,Niche Limits,Execution Flaws,Trend Shifts,Toxicity/Trust Issues,Regulatory Pressure,Overhype,Start Year,End Year,Years in Business
Finance and Insurance,1,1,1,0,0,0,0,0,0,0,0,0,0,2012,2023,11
Finance and Insurance,1,0,1,1,0,0,0,0,0,0,0,0,0,2002,2008,6
Finance and Insurance,1,0,1,0,1,0,0,0,0,0,0,0,0,2006,2011,5
Finance and Insurance,1,0,1,0,0,0,0,0,0,1,0,0,0,2013,2023,10
Finance and Insurance,1,0,1,0,1,0,0,0,0,0,0,0,0,2016,2022,6
Finance and Insurance,1,0,1,0,0,0,0,0,1,0,0,0,1,2011,2016,5
Finance and Insurance,1,0,1,0,0,0,0,0,0,1,0,0,0,2021,2023,2
Finance and Insurance,1,0,1,0,0,0,1,0,0,0,0,0,0,2012,2022,10
Finance and Insurance,1,0,1,0,0,0,0,1,0,0,0,0,0,2010,2016,6
Finance and Insurance,1,0,1,1,0,0,0,1,0,0,0,0,0,2014,2019,5
Finance and Insurance,1,0,1,1,0,0,0,0,0,0,0,0,0,2012,2020,8
Finance and Insurance,1,0,1,0,0,0,0,0,0,0,1,1,0,2012,2021,9
Finance and Insurance,1,0,1,0,0,0,0,0,0,0,1,0,0,2006,2021,15
Finance and Insurance,1,0,1,0,1,0,0,1,0,0,0,0,0,2013,2017,4
Finance and Insurance,1,0,1,0,0,0,0,0,0,0,0,0,0,2008,2018,10
Finance and Insurance,1,0,1,0,0,0,0,0,0,0,0,0,0,2012,2020,8
Finance and Insurance,1,0,1,1,0,0,0,0,0,0,0,0,0,2005,2008,3
Finance and Insurance,1,0,1,0,0,0,0,0,1,0,0,0,0,2008,2017,9
Finance and Insurance,0,0,1,1,0,0,0,1,0,0,0,0,0,2011,2017,6
Finance and Insurance,1,0,1,0,0,0,0,0,1,0,0,0,0,2002,2007,5
Finance and Insurance,1,0,1,1,0,0,0,0,0,0,0,0,0,2015,2020,5
Finance and Insurance,1,0,1,0,1,0,0,0,0,0,0,0,0,2009,2013,4
Finance and Insurance,1,0,1,0,1,0,0,0,0,0,0,0,0,2010,2017,7
Finance and Insurance,1,0,1,0,0,0,0,0,0,0,1,0,0,2003,2018,15
Finance and Insurance,1,0,1,0,0,0,0,0,0,0,0,0,0,2012,2017,5
Finance and Insurance,1,0,1,1,0,0,0,1,0,0,0,0,0,2016,2020,4
Finance and Insurance,1,0,1,0,1,0,0,0,0,0,0,0,0,2007,2018,11
Finance and Insurance,1,0,1,0,1,0,0,0,0,0,0,0,0,2009,2016,7
Finance and Insurance,1,0,1,0,0,0,0,0,0,0,0,0,0,2012,2023,11
Finance and Insurance,1,0,1,1,0,0,0,1,0,0,0,0,0,2016,2021,5
Finance and Insurance,1,0,1,0,0,0,0,0,0,0,0,0,0,2013,2020,7
Finance and Insurance,1,0,1,0,1,0,0,0,0,0,0,0,0,2009,2022,13
Finance and Insurance,1,0,1,0,1,0,0,0,0,0,0,0,0,2012,2018,6
Finance and Insurance,1,0,1,0,0,0,0,0,0,0,0,0,0,2008,2020,12
Finance and Insurance,0,0,1,1,0,0,0,1,0,0,0,0,0,2012,2016,4
Finance and Insurance,1,1,1,0,0,0,0,0,0,0,0,0,0,2012,2023,11
Finance and Insurance,1,0,1,0,0,0,0,0,0,0,0,1,0,2015,2021,6
Finance and Insurance,1,0,1,1,0,0,0,1,0,0,0,0,0,2015,2020,5
Finance and Insurance,1,0,1,0,0,0,0,1,0,0,0,0,0,2008,2015,7
Finance and Insurance,1,0,1,0,0,0,0,0,0,0,0,0,0,2018,2023,5
Finance and Insurance,1,0,1,0,0,0,0,0,0,0,0,0,0,2017,2023,6
Finance and Insurance,1,0,1,0,1,0,0,0,0,0,0,0,0,2008,2020,12
Finance and Insurance,1,0,1,1,0,0,0,0,0,0,0,0,0,2006,2011,5
Finance and Insurance,1,1,1,0,0,0,0,0,0,0,0,0,0,2011,2023,12
Finance and Insurance,1,0,1,0,1,0,0,0,0,0,0,0,0,2015,2021,6
Finance and Insurance,1,0,1,0,1,0,0,0,0,0,0,0,0,2009,2021,12
Finance and Insurance,1,0,1,0,0,0,0,0,0,0,0,1,0,2009,2020,11
Health Care,0,1,1,1,0,0,1,1,0,0,0,0,0,2015,2019,4
Health Care,1,0,1,1,0,0,1,0,0,0,0,0,0,2013,2021,8
Health Care,0,1,0,1,0,0,1,0,0,0,0,0,0,2015,2019,4
Health Care,1,0,1,0,1,0,0,0,0,0,0,0,0,2012,2024,12
Health Care,1,0,1,0,1,0,0,0,0,0,0,0,0,2014,2018,4
Health Care,1,1,1,0,0,0,0,0,1,0,0,0,0,2013,2023,10
Health Care,1,0,1,0,0,0,0,0,1,0,0,0,0,2014,2016,2
Health Care,1,0,1,1,0,0,0,0,0,0,0,0,0,2016,2023,7
Health Care,1,0,1,1,0,0,0,0,0,0,1,0,0,2013,2017,4
Health Care,1,0,1,0,1,0,0,0,0,0,0,0,0,2014,2020,6
Health Care,0,1,0,1,0,0,1,0,1,0,0,0,0,2015,2019,4
Health Care,1,1,1,1,0,0,1,0,0,0,0,0,0,2016,2021,5
Health Care,0,1,0,1,0,0,1,0,0,0,0,0,0,2011,2018,7
Health Care,1,0,1,0,1,0,1,0,0,0,0,0,0,2013,2020,7
Health Care,1,0,1,0,0,0,0,0,1,0,0,1,0,2016,2020,4
Health Care,0,0,0,0,0,0,0,0,1,0,0,0,0,2011,2016,5
Health Care,0,1,0,0,0,0,0,0,0,1,0,0,0,2014,2024,10
Health Care,0,0,0,1,0,0,0,0,1,0,0,0,0,2015,2019,4
Health Care,1,1,1,0,0,0,1,0,0,0,0,0,0,2013,2018,5
Health Care,0,1,0,1,0,0,1,0,0,0,0,0,1,2018,2018,0
Health Care,0,1,0,1,0,0,0,1,0,0,0,0,0,2016,2020,4
Health Care,1,0,1,0,0,0,0,0,0,0,1,0,0,2010,2023,13
Health Care,1,0,1,0,1,0,0,0,0,0,0,0,0,2013,2015,2
Health Care,1,1,1,0,1,0,0,0,0,0,0,0,0,2011,2021,10
Health Care,0,1,0,0,0,0,0,0,1,1,0,0,0,2016,2023,7
Health Care,0,1,0,0,0,0,0,0,1,1,0,0,0,2014,2023,9
Health Care,0,0,0,0,0,0,0,0,1,0,1,1,0,2014,2023,9
Health Care,1,1,1,0,0,0,0,1,0,0,0,0,0,2015,2019,4
Health Care,1,1,1,0,0,0,0,0,0,0,0,0,0,2012,2016,4
Health Care,1,0,1,1,0,0,0,0,0,0,0,0,0,2010,2017,7
Health Care,1,0,1,1,0,0,0,0,0,0,0,0,0,2011,2018,7
Health Care,1,0,1,0,1,0,0,0,0,0,0,0,0,2002,2020,18
Health Care,0,0,0,1,0,0,1,0,1,0,0,0,0,2006,2015,9
Health Care,1,0,1,0,0,0,0,0,1,0,0,0,0,2006,2017,11
Health Care,0,0,0,1,1,0,0,0,0,0,0,0,0,2012,2020,8
Health Care,0,0,0,1,0,0,0,0,0,0,0,0,0,2010,2015,5
Health Care,0,0,0,1,0,0,1,0,0,0,0,0,1,2012,2018,6
Health Care,1,0,1,0,0,0,0,0,1,0,0,0,1,2013,2018,5
Health Care,1,1,1,0,0,0,0,0,0,0,0,0,0,2017,2021,4
Health Care,0,0,0,1,0,0,1,0,0,0,0,0,0,2005,2023,18
Health Care,1,1,1,1,0,0,0,0,0,1,0,0,0,2017,2020,3
Health Care,0,1,0,1,0,0,0,1,0,0,0,0,0,2012,2018,6
Health Care,1,0,1,1,0,0,1,0,0,0,0,0,1,2014,2023,9
Health Care,1,0,1,0,0,0,0,0,1,0,0,0,0,2017,2023,6
Health Care,1,0,1,0,0,0,0,0,0,0,0,1,0,2014,2019,5
Health Care,0,1,0,0,0,0,0,0,1,1,0,0,0,2012,2023,11
Health Care,0,0,0,1,0,0,1,0,0,0,0,0,0,2011,2016,5
Health Care,1,1,1,0,0,0,0,0,1,0,0,0,0,2010,2015,5
Health Care,1,0,1,1,0,0,1,0,0,0,0,0,0,2013,2023,10
